,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,aa_and_mixed,aa,latino,immigrant,county,state,FIPS,area,prc_obese,nh_weighted_health_score,nh_num_beds,nh_prc_occupied,nh_nurse_hours,nh_total_fines,nh_overall_rating,incarcerated,domestic_passengers,intl_passengers,deaths_march24,deaths_april1,deaths_april11,deaths_april23,deaths_april25,deaths,cases_march24,cases_april1,cases_april11,cases_april23,cases_april25,cases_may11,ten_plus,order,density,death_prc,cases_prc,prc_incarcerated,uninsured,cases_may11_prc
0,2.56,0.7319978238431052,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257197,10.24710654609058,5.6547951322987595,2.388762789235098,27742,0.33647223662121295,11.687634788762042,2.9005303682495174,14.94176624205426,2.7320848259074144,2.246368289418574,1.620035772797066,Morgan County,AL,1103.0,579.34,32.1,3.168951873094033,6.453624998892692,93.6435331230284,1.5635965497429525,9.33846234536966,3.0520504731861204,604.0,13.270785106659046,1e-17,0,0,0,0,0,0,0,19,37,50,55,95,44,37,5.33058983742057,1e-17,0.0003106437486937451,0.005059018587784063,0.7819214394416031,0.0007974046999353359
1,3.15,2.7606935449359242,7.410151204315783,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701616,4.424055922802219,2.8094026953624973,22628,0.4054651081081644,11.927462630573624,2.414359334630721,8.175548009460512,2.0655025676548298,4.0247463046213525,2.8726638833086118,Kings County,CA,6031.0,1389.42,29.4,4.204659344840387,5.793013608384144,77.88990825688073,1.6423481009042442,1e-17,3.379204892966361,465.0,1e-17,1e-17,0,0,0,1,1,1,0,4,9,35,47,319,29,53,4.699951686361471,6.606481619140544e-06,5.945676338950674e-05,0.003067315076180086,2.3892939564818256,0.0021052569885607946
2,3.31,2.832623414130309,10.084580010172674,19.673111107615345,10.873224370369208,6.512608346835723,8.971353961836744,3.888163517857236,2.4423470353692043,30674,0.832909122935104,12.984468191554496,2.6849482256351442,3.5487173836186914,1.3078339665117396,4.096528996892057,3.4603253557991343,Monterey County,CA,6053.0,3280.6,27.6,4.158017968570968,6.901737206656574,86.15307150050354,1.6383075067974824,9.153435986646649,3.695871097683787,929.0,12.133507329024972,1e-17,1,1,3,4,4,6,14,42,79,154,169,279,51,53,4.896187390570685,1.3774199547046615e-05,0.00018134509907181105,0.002130448899355726,1.5506847849263052,0.0006402996545643605
3,2.37,0.8497984627962628,16.36894730929109,20.669587686776765,11.533535557802491,3.509718009212448,10.598809122570495,6.7902482867093585,1.8082887711792655,37645,0.09531017980432487,11.509890865226396,3.36143749787892,0.8275156475686086,0.4289396198058977,2.367755335593552,1.8006138567104406,Nevada County,CA,6057.0,957.77,21.5,3.8551970250138656,6.063785208687608,86.13053613053611,1.6991306187954875,7.040244462028216,4.631701631701632,197.0,1e-17,1e-17,0,0,1,1,1,1,2,26,34,36,37,41,44,53,4.654834221260103,1.0030442392745826e-05,0.0003409786119103979,0.0019740573275495387,0.8009841650308878,0.0004111656604234214
4,2.59,0.7259907275565578,9.394248302201037,25.46195925282488,11.484730577610593,4.417866731754943,12.854455914657786,5.007968527904206,2.3513752571634776,28144,0.5877866649021191,12.100939881712705,3.071117320527899,1.997333925794268,0.7679293786683509,2.4255829754181164,2.019071171309036,Shasta County,CA,6089.0,3775.4,23.3,4.307276020780355,6.962243464266207,84.37914691943129,1.7149173760884233,10.048813340951382,3.769668246445498,339.0,1e-17,1e-17,0,1,3,3,4,4,2,7,24,28,30,32,38,53,3.8854256557838793,2.22170382475452e-05,0.0001332948261365329,0.001881144445594678,0.6023922618591876,0.00017772248680536845
5,2.93,1.7602733112394238,11.537693792002127,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,5.1799853616341744,2.468099531471619,22994,0.18232155679395462,11.265002422291795,2.5667298721341836,6.076293230481412,1.316916773500521,3.3924505693587235,2.6836881506826735,Yuba County,CA,6115.0,631.84,34.4,4.386180495436343,4.465908118654584,90.4651162790698,1.5322976552397336,1e-17,2.0,366.0,1e-17,1e-17,0,0,1,1,1,1,3,7,15,16,16,21,35,53,4.824417069298601,1.2813695277687931e-05,0.00019218819126787029,0.004678879470534695,1.3884607446361055,0.0002690531268032232
6,2.73,0.7432533416098468,17.043462555908505,19.34620247112943,8.619205966407089,5.899476239548696,9.459559956229349,3.5239623062458167,0.832909122935104,53900,1.0647107369924282,12.744835368939071,2.537394180263055,1.8758606203468158,0.9207571353738624,2.300048445510013,2.083505901490803,Douglas County,CO,8035.0,840.25,19.1,4.3044741837125455,6.476972362889683,79.07550077041603,1.5585603583925938,8.88803346418604,3.1571648690292764,337.0,1e-17,1e-17,0,0,10,18,19,29,48,141,282,399,425,604,54,46,6.013581294733104,8.459977746552597e-05,0.0008223564766178082,0.0009826663705590803,0.3937506716650485,0.001760533044983884
7,2.68,0.22875635339993974,16.124416938571372,22.612489524130375,8.250306217727562,8.061896532721107,9.819139179856382,3.7340886357350374,2.066862759472976,56135,2.3513752571634776,13.757694987067447,2.825783626414636,13.213706383506231,2.524187804732694,3.0529198561618562,3.1191925798250186,Fairfield County,CT,9001.0,624.89,20.8,4.0074845191828885,8.618846845142738,83.00505963136972,1.6306285910845835,9.581131425676201,3.2784935913167947,0.0,13.560619598657233,1e-17,7,46,220,615,689,1034,270,1986,5407,10008,10373,13312,58,49,7.3207801581063805,0.001094944726799199,0.00571248105956413,1e-17,0.6012002436830611,0.014005798769648472
8,2.55,0.8759709693915025,5.490235153447589,28.012903547229968,9.052411319250696,9.3401255480271,15.795635711438825,4.9970107612594665,2.501435951739211,27508,0.5877866649021191,12.092629553678991,2.8733795154867785,29.177261271352574,3.2769703572437026,2.126917351511664,1.9208764373723493,Kent County,DE,10001.0,586.18,35.2,4.501820819859119,6.709304340258299,77.04517704517706,1.8859533742744046,10.375861729092668,3.555555555555556,0.0,1e-17,1e-17,0,3,4,15,18,39,6,41,255,539,579,1044,48,48,5.722274668051461,0.0002184023596136164,0.0014271525137817568,1e-17,1.0913047800398952,0.005830073697213329
9,2.63,0.6026474710910187,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750066,11.08466902109934,5.8060309698451515,2.151762203259462,35859,1.4586150226995167,13.234505644910266,2.8076428204343507,27.353374989943408,3.29269926054299,2.422735797177497,2.5254922642760107,New Castle County,DE,10003.0,426.29,28.3,4.606137568493197,7.907651594711089,87.36474052263523,1.659133141922541,9.772191547996291,3.7263250438739632,0.0,16.40665241575519,14.465124258748109,0,5,19,40,52,95,44,226,807,1389,1504,2390,55,48,7.180145838139116,0.00016983012559086967,0.00144174492157991,1e-17,0.9252593060799063,0.0042638281999088255
