,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,county,state,FIPS,area,prc_obese,incarcerated,domestic_passengers,intl_passengers,deaths_march24,deaths_april1,deaths,cases_march24,cases_april1,cases_april23,ten_plus,order,density,death_prc,uninsured,log_population,log_density,log_intl_passengers,log_domestic_passengers,log_area,log_cases_march24,log_incarcerated,log_empl_agriculture,log_prc_public_transp,log_deaths
233,-0.5614322796075414,-0.5565919101856475,0.19842503736969505,0.829677769114754,0.22338481329977097,-0.5281332042915086,-0.5301599934069104,0.11701826781768183,0.9110128424951208,0.19227281712705482,-0.2646728752528345,0.09513631458987584,-0.2624367410549663,Pulaski County,AR,5119.0,-0.16919243331144124,0.38288827681683063,0.32659784387763924,-0.34290716911378755,-0.2566045534918773,0,2,12.0,0.018960622523778312,107,427,0.4005981831202382,-3.1865476245415776,-0.0984963453617271,3.055923398186818e-05,-0.18663223449302718,0.7628391568005713,0.4427553925106822,-0.5099839552716328,0.7513758774210486,0.15413284618365145,1.3223051700181994,0.7487229424311479,-0.8701484817142623,-0.30249579152662687,2.5649493574615367
234,-0.2016922264809116,-0.05561577972537213,-0.39283647778087505,0.08640115089840955,-0.7043791458602143,0.32658947536140703,0.5471072578359796,1.0787796221338688,0.6284408328398127,-0.504298190979712,-0.24655029981862955,-0.16868622625098478,-1.2531018773782345,Washington County,AR,5143.0,-0.0688193708562132,-0.21992898522615836,-0.04285465089822694,-0.37246556623201826,-0.2566045534918773,0,0,2.0,-0.1542013479408248,22,62,0.04372777295100612,-3.1865476245415776,-0.1768541232780162,8.440207460299374e-06,-0.46338290394317483,0.20336355851794477,-0.1389490583207964,-0.5099839552716328,0.7090520744292147,0.39741816921520406,-0.17483333809244972,0.422687690488402,0.2793791460416558,-0.22269033438905328,1.0986122886681096
235,1.597008039152241,-0.5615611922595652,0.7626389142504988,-0.6906601817353019,0.719059518335118,-0.32705462191918105,-0.7100865214889549,0.5488230134813854,0.3458688231845049,0.26548903987696315,0.6414558964574109,16.550839214914582,-0.7212380294165607,Los Angeles County,CA,6037.0,1.6476255500310573,-1.8211623375278465,14.810734231617065,4.083085228575149,4.019668881899622,11,64,797.0,1.487745193428894,3518,17537,2.541820644135631,1.2691115844501493,0.48441187559158927,7.886780271926685e-05,-0.5174680800496672,4.360334425844439,1.715390644338273,2.3384781939631805,1.2585700921833827,2.0512546608523343,2.706287660928037,2.5766538310342373,-0.8864775358366631,1.612384681351382,6.682108597449809
236,-0.2816344605090517,2.130148500055498,-0.46691365171306953,-1.3068938553826919,0.02492509093634121,-0.7845182839722075,2.7715235693260687,-1.120271714131086,1.381966191920634,-0.6466630685489781,-0.3915308851696934,-0.42172673888776474,1.202409221154898,Mendocino County,CA,6045.0,1.3438016168410214,0.2133459218672404,-0.343922909862214,-0.4539129743497599,-0.2566045534918773,0,0,1e-06,-0.16657006011686787,4,5,-3.287062721961827,1.2691115844501493,-0.2437768629267407,1.1414743282423574e-11,-0.25298377394712096,-0.8987992136214431,-1.9812917664520124,-0.5099839552716328,-1.1410281813195413,1.885773150197975,-0.8791205819558919,-0.06683149157728066,2.2350838032353253,-1.0433669830218941,9.999995000003334e-07
237,1.7169213901944502,-0.47214774692058104,1.2896565352825577,-0.9842094325187639,0.517690432307248,0.0990351952395633,-0.5127395733015163,-0.7327778077230067,-0.4076565358963163,1.232426203867506,-0.010956819173965775,4.827586031453495,-0.44410647716784196,Orange County,CA,6059.0,-0.1522202909798152,-2.2732752840600874,4.991823697381545,0.5572215372895585,-0.2566045534918773,0,10,36.0,0.21686001734046756,606,1827,1.4712094136279346,1.2691115844501493,0.9391663797713455,1.1299548520261348e-05,-0.5921102199621997,3.0817368650387404,2.1052127386349797,-0.5099839552716328,1.053366208318455,0.1991155026111222,1.776918284078241,1.9152351632653095,-0.6141154747384404,0.5363139190102715,3.6109179126442243
238,0.35790341171606943,-0.3707807965448003,0.45453206862943407,-0.1621103703280578,-0.2839757497024053,-0.8580531874694985,-0.11594275107140652,-0.6024992132454252,-0.7844192154367268,1.3165740154307688,-0.19218257351601484,0.09593090466336952,0.6719518998307725,Placer County,CA,6061.0,0.1873547631879075,-2.028380771355123,0.01842472924488548,0.1683236481975088,-0.21146259647502613,1,2,8.0,-0.13255610163274942,78,136,0.5195549865099822,1.2691115844501493,-0.16862438405720595,2.034851926368883e-05,-0.5881183872956257,0.764161302804405,-0.05416908899601854,1.5454578511606825,0.9870002539524751,0.8516572466602608,0.32083540781901126,0.48929711049909874,-0.35008853391099504,-0.007462782656607728,2.1972245773362196
239,0.7975856988708394,-0.37891283372757956,0.47877482472505223,-0.33679630617105283,0.11209988062835229,-0.9997665307497673,-0.15314775329485736,0.2316829917627614,0.2516781532994022,0.09172762234376056,0.02528833169444399,2.040602857111059,-0.6044905554175944,Sacramento County,CA,6067.0,-0.05633126742687335,-0.4459854584922789,2.6223543318478653,0.1683236481975088,-0.21146259647502613,4,7,41.0,0.1024494297120691,224,987,1.9470366271869106,1.2691115844501493,0.22068262254786766,2.6606531579032754e-05,-0.44429840295766376,2.2772000086250186,1.3558691083816423,1.5454578511606825,0.9870002539524751,0.4243356966753813,1.5540532025794118,1.5562425885458595,-0.3698309911456454,0.6236058036883668,3.7376696182833684
240,1.077383517969329,-0.17153238855931593,-0.059849147772455175,-0.0537356279090822,-0.3982236292795596,-0.3799721974884446,-0.08265912857518551,0.5870441334224732,-0.8786098853218295,0.48221414367660503,0.20651408603649304,0.18650570193212446,-0.2042759063740336,Solano County,CA,6095.0,-0.1350333114034851,-0.2010909457873147,0.21114393926018105,-0.4539129743497599,-0.2566045534918773,0,0,4.0,-0.12637174554472788,49,191,0.7574685932894704,1.516648207171912,-0.09063192771269772,8.956360135241036e-06,0.4248782849983044,0.905384097754934,0.48337393872538675,-0.5099839552716328,-1.1410281813195413,0.2429175169429606,0.4125730479326201,0.663138031296498,0.07378469895155906,0.9931736218254146,1.6094379124341003
241,-0.6813456306497525,-0.41581626572066244,0.16706558123068815,0.30980289227187124,-0.5984507512157797,0.6275744839392358,-0.41905647454883976,-0.7304786240473896,-1.2789202323335158,1.3958915900765028,-0.19218257351601484,-0.26330851965103275,1.0029593905578214,Litchfield County,CT,9005.0,-0.0806133847257398,-0.78507016839146,-0.6130193182279405,-0.10935268093506702,-0.2566045534918773,0,1,66.0,-0.12946392358873865,131,751,0.5195549865099822,0.7740383390066241,-0.19304589533026317,0.0003644174014830684,-0.49080754864304815,-0.09435737039838014,-0.3371817359346042,-0.5099839552716328,0.9062071507839567,0.371395802334367,0.36834379635135656,-3.802689294820905,-0.46239884752286453,-0.007462782656607728,4.204692619390966
242,-1.0011145667623131,-0.43806417199310044,0.8232238619628839,1.0596399995315293,-0.9511891864001664,-0.5428634610087576,-1.4983548225778158,-0.7783085154625425,-1.1611818949771375,1.8519676442894735,-0.24655029981862955,-0.2945313351401909,0.7711190281830047,Middlesex County,CT,9007.0,-0.38428307579137283,-1.1053168388517975,-0.6130193182279405,-0.4539129743497599,-0.2566045534918773,0,2,57.0,-0.1449248138087925,66,545,0.16268457634075015,0.7740383390066241,-0.12104266902617744,0.0003503768087434381,-0.20935121966470205,-0.213222477910476,0.3135636560695568,-0.5099839552716328,-1.1410281813195413,-0.6616707156171284,0.08509812855671012,-3.802689294820905,-0.5207230906849614,-0.22269033438905328,4.060443010546419
