,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,FIPS,area,domestic_passengers,intl_passengers,order started,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,cases_march1,cases_march15,cases_april1,ten plus cases
415,3.03,1.8676120287634617,9.837953902414476,18.688421923752227,6.231337858844317,12.80041154564466,11.308558583746185,89419,6.4,33727.0,0.2,179436,12.684188234245074,99.36021757061012,Ellis County,TX,48139.0,935.49,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2.0,3,3,0,0,20,3/27/20
416,2.91,2.9140526520086514,12.826828018506761,19.3291321111516,9.487512870887539,9.083178647698748,10.486518447501098,2269657,13.5,31293.0,2.5,4698619,10.522538643801507,99.5143892279838,Harris County,TX,48201.0,1703.48,22422000,5759500,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,2,3,5,6,6,6,13,17,20,22,23,31,34,40,41,44,46,52.0,58,63,0,11,847,3/14/20
417,2.63,2.0196031556299308,8.793688740138657,22.953860865407602,9.151326798948123,11.520918001434376,13.396127181448724,104575,14.5,25552.0,0.7,255001,14.344257473500106,94.65649154317042,Jefferson County,TX,48245.0,876.3,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,6,6.0,6,6,0,0,27,3/28/20
418,2.83,2.666335187544672,8.844277323720439,17.937163988936888,6.429659094440472,9.428509276236056,11.075546163647099,32179,7.3,22335.0,0.5,86323,12.6061420478899,89.9968722125042,Liberty County,TX,48291.0,1158.42,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,4/7/20
419,2.55,2.591593764388608,8.592383082286391,30.565677826744718,10.274287969479708,4.933894626060646,10.605801486548707,152030,10.2,27520.0,1.2,307412,12.230817274537106,98.69393517494436,Lubbock County,TX,48303.0,895.6,479000,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,6,6,6,7,9,13,14,16,21.0,25,25,0,0,100,3/24/20
420,2.63,2.88357349635308,7.246939336600198,26.40337683761099,9.110022156453674,9.469053741529603,13.067455889250073,61833,11.5,25473.0,0.1,137640,14.094739901191511,96.03458297006685,Taylor County,TX,48441.0,915.55,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.0,1,2,0,0,14,3/30/20
421,2.34,0.0,0.0,0.0,0.0,0.0,0.0,23990,17.3,17989.0,2.5,72480,12.729028697571742,78.73344370860927,Walker County,TX,48471.0,784.17,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4/5/20
422,3.62,3.595034952988004,7.8456084358651195,21.319962644277414,7.908170204277773,1.839678668250356,16.595189090678296,110291,22.8,17857.0,1.7,275910,9.424450001812184,99.1743684534812,Webb County,TX,48479.0,3361.48,0,0,04/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,6,6,6,6,6,6,6,6,8,8.0,8,10,0,0,45,3/26/20
423,2.96,0.9800512155796528,11.182858588093957,19.002718851759354,6.553697322247162,15.41841863994183,11.175745313142171,126524,6.4,27045.0,1.4,256359,11.531485143880262,99.01622334304628,Weber County,UT,49057.0,576.08,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,0,41,3/25/20
424,2.34,1.0981100044053336,12.664797086032946,32.94007671727428,10.131192985849207,9.629414735303914,10.4352684567364,93069,5.2,37812.0,1.9,164572,15.86418102714921,99.07092336484943,Chittenden County,VT,50007.0,536.58,657999,0,03/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,15,16,17,18,19.0,19,22,0,1,164,3/21/20
425,2.52,0.34762795045571404,11.921593830334189,27.109137648983413,13.98399158681935,7.209628417854638,12.269221780789904,34232,5.7,45046.0,0.5,76397,25.5572862808749,97.95279919368559,James City County,VA,51095.0,142.44,195000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2,2,0,8,95,3/17/20
426,2.41,0.11791694359282208,8.727997770297794,27.234526081083974,8.041935553030466,7.793237999271059,8.822331325172051,46643,3.3,34869.0,0.2,94073,20.93161693578391,98.36616244831144,Roanoke County,VA,51161.0,250.52,327000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,4/10/20
427,2.53,3.3188639464219274,5.127123899293066,26.079622969118194,8.121046756790276,14.064244077886643,12.367605109760635,40315,5.3,31437.0,0.3,81244,18.720151641967405,99.59504701885677,Rockingham County,VA,51165.0,849.09,350000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,4/2/20
428,2.38,0.2327790973871734,10.61520190023753,24.819477434679328,11.48812351543943,14.52375296912114,9.473871733966746,84200,9.1,27395.0,3.1,178626,13.109513732603318,95.18659097779718,Newport News city,VA,51700.0,68.71,2036000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,0,29,3/27/20
429,2.43,0.12718846053785302,10.512318973242246,23.94997253885511,12.94431650655695,6.377730456818554,12.61285567000376,103783,13.7,30127.0,3.3,244076,11.173159179927564,88.12623936806568,Norfolk city,VA,51710.0,54.12,2036000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,33,3/28/20
430,2.62,0.5398681428038313,11.252643363602438,20.825973379773604,8.538375419828338,10.426669983828834,12.180619480034833,40195,13.5,24730.0,3.5,94632,14.724406120551189,94.1288359117423,Portsmouth city,VA,51740.0,33.65,2036000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13,3/31/20
